Date,Description,Category,Amount
2024-01-02,Monthly Salary,Income,4500
2024-01-03,Rent Payment,Housing,-1500
2024-01-03,Electric Bill,Utilities,-85
2024-01-04,Grocery Store,Groceries,-125
2024-01-05,Gas Station,Transportation,-45
2024-01-06,Netflix,Subscriptions,-15
2024-01-07,Coffee Shop,Dining Out,-12
2024-01-08,Amazon Purchase,Shopping,-67
2024-01-10,Grocery Store,Groceries,-98
2024-01-11,Restaurant,Dining Out,-55
2024-01-12,Gym Membership,Health,-45
2024-01-13,Phone Bill,Utilities,-85
2024-01-14,Gas Station,Transportation,-40
2024-01-15,Freelance Payment,Income,800
2024-01-15,Internet Bill,Utilities,-60
2024-01-16,Grocery Store,Groceries,-110
2024-01-17,Movie Theater,Entertainment,-32
2024-01-18,Doctor Visit,Healthcare,-25
2024-01-19,Clothing Store,Shopping,-89
2024-01-20,Restaurant,Dining Out,-78
2024-01-21,Uber Ride,Transportation,-22
2024-01-22,Grocery Store,Groceries,-92
2024-01-23,Spotify,Subscriptions,-10
2024-01-24,Hair Salon,Personal Care,-45
2024-01-25,Gas Station,Transportation,-48
2024-01-26,Bar,Dining Out,-65
2024-01-27,Amazon Purchase,Shopping,-34
2024-01-28,Grocery Store,Groceries,-88
2024-01-29,Car Insurance,Insurance,-125
2024-01-30,Transfer to Savings,Savings,-400
2024-01-31,Investment Deposit,Investments,-300
